codigo,descripcion,categoria,precio
1000,martillo,2,145.6
1001,jabon,1,13.5
1002,yogur,3,18.7
1003,microondas,5,2560
1004,coca cola,5,34.5
1005,detergente,1,56.5
1006,depiladora,4,1450
1007,lavandina,1,48.6
1008,shampoo,1,67.8
1009,clavo,2,5
1010,cinta metrica,2,198.8
1011,poet,1,34.7
1012,whisky,5,455.9
1013,bailey,5,410
1014,crema enguaje,1,90.5
1015,agua mineral,5,27.5
1016,soda,5,11.8
1017,desinfectante,1,27.8
1018,heladera,4,14500
1019,lcd,4,8700
1020,dvd player,4,3500
1021,cif,1,45.9
1022,acaroina,1,58.9
1023,jabon blanco,1,14.6
1024,suavizante,1,123
1025,trapo piso,1,35.5
1026,esponja ,1,18.7
1027,cepillo,1,90
1028,impresora,4,4590
1029,batidora,4,1330
1030,amarula,5,480
1031,tequila,5,160
1032,vino tinto,5,89.9
1033,vino blanco,5,79.9
1034,pinza,2,123.4
1035,taladro,2,2350
1036,champagne,5,199.9
1037,tenaza,2,156.7
1038,alicate,2,155.7
1039,leche,3,19.9
1040,manteca,3,59
1041,desodorante,1,45.5
1042,papel higienico,1,34.9
1043,cutter,2,18.5
1044,tornillos,2,4
1045,destornillador,2,99.9
1046,dulce de leche,3,42.3
1047,postrecito,3,23.5
1048,vodka,5,320
1049,sidra,5,110
1050,fresita,5,85.5
